,Metric,Generator_A,Generator_B,p_raw,p_holm,p_bh,Cliffs_Delta
0,Accuracy,CTABGAN,CTGAN,0.001953125,0.0546875,0.0022786458333333335,0.96
1,Accuracy,CTABGAN,CopulaGAN,0.001953125,0.0546875,0.0022786458333333335,1.0
2,Accuracy,CTABGAN,ForestDiffusion,0.001953125,0.0546875,0.0022786458333333335,-1.0
3,Accuracy,CTABGAN,GaussianCopula,0.048828125,0.0546875,0.048828125,0.24
4,Accuracy,CTABGAN,TVAE,0.001953125,0.0546875,0.0022786458333333335,-0.78
5,Accuracy,CTABGAN,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,1.0
6,Accuracy,CTABGAN,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-0.94
7,Accuracy,CTGAN,CopulaGAN,0.001953125,0.0546875,0.0022786458333333335,1.0
8,Accuracy,CTGAN,ForestDiffusion,0.001953125,0.0546875,0.0022786458333333335,-1.0
9,Accuracy,CTGAN,GaussianCopula,0.001953125,0.0546875,0.0022786458333333335,-0.86
10,Accuracy,CTGAN,TVAE,0.001953125,0.0546875,0.0022786458333333335,-1.0
11,Accuracy,CTGAN,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,0.98
12,Accuracy,CTGAN,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-1.0
13,Accuracy,CopulaGAN,ForestDiffusion,0.001953125,0.0546875,0.0022786458333333335,-1.0
14,Accuracy,CopulaGAN,GaussianCopula,0.001953125,0.0546875,0.0022786458333333335,-1.0
15,Accuracy,CopulaGAN,TVAE,0.001953125,0.0546875,0.0022786458333333335,-1.0
16,Accuracy,CopulaGAN,TabDDPM,0.01953125,0.0546875,0.02025462962962963,-0.72
17,Accuracy,CopulaGAN,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-1.0
18,Accuracy,ForestDiffusion,GaussianCopula,0.001953125,0.0546875,0.0022786458333333335,1.0
19,Accuracy,ForestDiffusion,TVAE,0.001953125,0.0546875,0.0022786458333333335,0.73
20,Accuracy,ForestDiffusion,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,1.0
21,Accuracy,ForestDiffusion,WGAN_GP,0.00390625,0.0546875,0.004206730769230769,0.64
22,Accuracy,GaussianCopula,TVAE,0.001953125,0.0546875,0.0022786458333333335,-0.82
23,Accuracy,GaussianCopula,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,1.0
24,Accuracy,GaussianCopula,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-0.94
25,Accuracy,TVAE,TabDDPM,0.001953125,0.0546875,0.0022786458333333335,1.0
26,Accuracy,TVAE,WGAN_GP,0.00390625,0.0546875,0.004206730769230769,-0.49
27,Accuracy,TabDDPM,WGAN_GP,0.001953125,0.0546875,0.0022786458333333335,-1.0
