Dataset,DatasetKey,DatasetLabel,Generator,Seed,Utility,UtilityMean,UtilityStd,UtilityMetric,Fidelity,FidelityMetric,Privacy,PrivacyMetric,PrivacyLabel,HigherIsPrivate,N_Classifiers,SeedSource
1. Cancer,Cancer,Cancer,CTABGAN,42,0.8707925048359653,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,43,0.86136299694597,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,44,0.8606741489553401,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,45,0.8482265597662224,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,46,0.8747747425409297,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,47,0.8800106187609125,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,48,0.9099243642022177,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,49,0.9066735144471172,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,50,0.8850562384065697,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
1. Cancer,Cancer,Cancer,CTABGAN,51,0.8498158574504295,0.882719298245614,0.02284904814275749,Accuracy,0.851563,Quality_Score,0.624091,MIA_AUC,MIA AUC,False,20,reconstructed_from_Mean_SD
